图框,默认,C-SHET-SHET,默认开,默认否,默认否,144,Continuous,默认,0,默认,T,图框（含固定文字）
图框,默认,C-SHET-PROJ,默认开,默认否,默认否,131,Continuous,默认,0,默认,T,项目相关文字
图框,默认,C-SHET-PROF,默认开,默认否,默认否,132,Continuous,默认,0,默认,T,专业相关文字（含人名）
图框,默认,C-SHET-IDGF,默认开,默认否,默认否,255,Continuous,默认,0,默认,T,电子签名
外参存放,默认,C-XREF-EXT,默认开,默认否,默认否,7,Continuous,默认,0,默认,T,存放专业间协同外参
外参存放,默认,C-XREF-INT,默认开,默认否,默认否,7,Continuous,默认,0,默认,T,存放专业内协同外参、块
外参辅助,默认,C-XREF-PONT,默认开,默认否,默认否,7,Continuous,默认,0,默认,nil,外参定位点
外参辅助,默认,C-XREF-SLCT,默认开,默认否,默认否,7,Continuous,默认,0,默认,nil,外参选择框
电气通用,默认,E-UNIV-NOTE,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,电气设计说明、图例说明、材料表、修改通知正文、所有系统图内标注
电气通用,默认,E-UNIV-WIRE,默认开,默认否,默认否,4,Continuous,默认,0,默认,T,强电系统图、二次原理图内管线
电气通用,默认,E-UNIV-VPRT,默认开,默认否,默认否,5,Continuous,默认,0,默认,T,纸空间视口
电气通用,默认,E-UNIV-AUXL,默认开,默认否,默认否,1,Continuous,默认,0,默认,nil,纸空间内附加说明、提醒、辅助线、云线
电气通用,默认,E-UNIV-DIAG,默认开,默认否,默认否,2,Continuous,默认,0,默认,T,框图、表格线
电气通用,默认,E-UNIV-DIAG2,默认开,默认否,默认否,2,HIDDEN,默认,0,默认,T,框图、表格线
电气通用,默认,E-UNIV-EL,默认开,默认否,默认否,140,Continuous,默认,0,默认,T,电气图块元素
电气通用,默认,E-UNIV-AB,默认开,默认否,默认否,10,Continuous,默认,0,默认,T,电气图块元素
提资,默认,E-REQU-WALL,默认开,默认否,默认否,2,Continuous,默认,0,默认,T,设备基础、留洞、构筑物
提资,默认,E-REQU-WALL2,默认开,默认否,默认否,2,HIDDEN,默认,0,默认,T,设备基础、留洞、构筑物
提资,默认,E-REQU-WNDR,默认开,默认否,默认否,130,Continuous,默认,0,默认,T,设备留门窗
提资,默认,E-REQU-DIMS,默认开,默认否,默认否,30,Continuous,默认,0,默认,T,提资留洞尺寸描述：电缆沟尺寸、留洞尺寸、设备基础尺寸、门窗大小等
提资,默认,E-REQU-DIAG,默认开,默认否,默认否,11,Continuous,默认,0,默认,T,提资留洞表、表内文字
提资,默认,E-REQU-POST,默认开,默认否,默认否,10,Continuous,默认,0,默认,T,提资提醒、留洞定位
提资,默认,E-REQU-EMBD,默认开,默认否,默认否,90,Continuous,默认,0,默认,T,设备埋件、套管（进户管）
电力,默认,E-POWR-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
电力,默认,E-POWR-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的小设备（如插座）、引上引下线符号、一二次系统图符号
电力,默认,E-POWR-CMTB,默认开,默认否,默认否,3,HIDDEN,默认,0,默认,T,桥架、线槽、母线、明立管
电力,默认,E-POWR-WIRE,默认开,默认否,默认否,4,DASHDOT,默认,0,默认,T,电力布线（含室外管线）
电力,默认,E-POWR-WIRE2,默认开,默认否,默认否,4,DASHDOT2,默认,0,默认,T,电力布线2（含室外管线）
电力,默认,E-POWR-WIRE3,默认开,默认否,默认否,4,DIVIDE2,默认,0,默认,T,电力布线3（含室外管线）
电力,默认,E-POWR-WELL,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,电力室外管线工井
电力,默认,E-POWR-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线、图名、比例（与其他专业无关的标注、尺寸、云线，含防雷接地，配电柜尺寸）
电力,默认,E-POWR-DIMSX,默认开,默认否,默认否,211,Continuous,默认,0,默认,T,标注、尺寸、云线（与管线综合有关的标注、尺寸、云线、桥架尺寸标高，含防雷接地，进户管标注）
电力,默认,E-POWR-CATE,默认开,默认否,默认否,2,HIDDEN,默认,0,默认,T,连锁关系
电力,默认,E-GRND-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接地
电力,默认,E-GRND-WIRE,默认开,默认否,默认否,4,E-GND,默认,0,默认,T,接地
电力,默认,E-THUN-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,防雷
电力,默认,E-THUN-WIRE,默认开,默认否,默认否,4,E-THU,默认,0,默认,T,防雷
照明,默认,E-LITE-LITE,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,灯具
照明,默认,E-LITE-LITE2,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,灯具2，灯槽等
照明,默认,E-LITE-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,小设备如开关、接线盒、引上引下线符号
照明,默认,E-LITE-WIRE,默认开,默认否,默认否,4,Continuous,默认,0,默认,T,照明布线
照明,默认,E-LITE-WIRE2,默认开,默认否,默认否,4,HIDDEN,默认,0,默认,T,照明布线，如应急照明
照明,默认,E-LITE-WIRE3,默认开,默认否,默认否,4,HIDDEN2,默认,0,默认,T,照明布线，如低压安全照明
照明,默认,E-LITE-CATE,默认开,默认否,默认否,2,HIDDEN,默认,0,默认,T,联锁关系线
照明,默认,E-LITE-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸
弱电,默认,E-TELE-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体、井
弱电,默认,E-TELE-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的小设备（如插座）、引上引下线符号、一二次系统图符号
弱电,默认,E-TELE-CMTB,默认开,默认否,默认否,3,HIDDEN2,默认,0,默认,T,桥架、线槽、明立管
弱电,默认,E-TELE-WIRE,默认开,默认否,默认否,4,PHANTOM,默认,0,默认,T,弱电布线（含室外管线）
弱电,默认,E-TELE-WIRE2,默认开,默认否,默认否,4,PHANTOM2,默认,0,默认,T,弱电布线2（含室外管线）
弱电,默认,E-TELE-WIRE3,默认开,默认否,默认否,4,HIDDEN,默认,0,默认,T,弱电布线3（含室外管线）
弱电,默认,E-TELE-WELL,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,弱电室外管线工井
弱电,默认,E-TELE-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线、图名、比例（与其他专业无关的标注、尺寸、云线，配电柜尺寸）
弱电,默认,E-TELE-DIMSX,默认开,默认否,默认否,151,Continuous,默认,0,默认,T,标注、尺寸、云线（与管线综合有关的标注、尺寸、云线、桥架尺寸标高，进户管标注）
控制,默认,E-CTRL-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
控制,默认,E-CTRL-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
控制,默认,E-CTRL-WIRE,默认开,默认否,默认否,4,BORDER2,默认,0,默认,T,布线
控制,默认,E-CTRL-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
控制,默认,E-CTRL-CATE,默认开,默认否,默认否,2,HIDDEN,默认,0,默认,T,联锁关系线
火灾自动报警系统,默认,E-FAS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
火灾自动报警系统,默认,E-FAS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
火灾自动报警系统,默认,E-FAS-DEVC-DR,默认开,默认否,默认否,11,Continuous,默认,0,默认,nil,探测器保护半径
火灾自动报警系统,默认,E-FAS-DEVC-MR,默认开,默认否,默认否,240,Continuous,默认,0,默认,nil,手报监视半径
火灾自动报警系统,默认,E-FAS-WIRE,默认开,默认否,默认否,4,Continuous,默认,0,默认,T,布线（报警）
火灾自动报警系统,默认,E-FAS-WIRE2,默认开,默认否,默认否,4,CENTER,默认,0,默认,T,布线（警报）
火灾自动报警系统,默认,E-FAS-WIRE3,默认开,默认否,默认否,4,PHANTOM,默认,0,默认,T,布线（联动）
火灾自动报警系统,默认,E-FAS-DIMS,默认开,默认否,默认否,7,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
电气火灾监控系统,默认,E-EFPS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
电气火灾监控系统,默认,E-EFPS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
电气火灾监控系统,默认,E-EFPS-WIRE,默认开,默认否,默认否,4,BORDER2,默认,0,默认,T,布线（报警）
电气火灾监控系统,默认,E-EFPS-WIRE2,默认开,默认否,默认否,4,DIVIDE2,默认,0,默认,T,布线（警报）
电气火灾监控系统,默认,E-EFPS-WIRE3,默认开,默认否,默认否,4,DIVIDE,默认,0,默认,T,布线（联动）
电气火灾监控系统,默认,E-EFPS-DIMS,默认开,默认否,默认否,7,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
综合布线系统,默认,E-GCS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
综合布线系统,默认,E-GCS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,插座、接线盒、引上引下线符号、一二次系统图符号
综合布线系统,默认,E-GCS-WIRE,默认开,默认否,默认否,4,DASHED,默认,0,默认,T,布线
综合布线系统,默认,E-GCS-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
电视系统,默认,E-CATV-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
电视系统,默认,E-CATV-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,插座、接线盒、引上引下线符号、一二次系统图符号
电视系统,默认,E-CATV-WIRE,默认开,默认否,默认否,4,DASHDOT,默认,0,默认,T,布线
电视系统,默认,E-CATV-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
出入口控制系统,默认,E-ACS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
出入口控制系统,默认,E-ACS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
出入口控制系统,默认,E-ACS-WIRE,默认开,默认否,默认否,4,HIDDEN,默认,0,默认,T,布线
出入口控制系统,默认,E-ACS-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
防盗报警系统,默认,E-IAS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
防盗报警系统,默认,E-IAS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
防盗报警系统,默认,E-IAS-WIRE,默认开,默认否,默认否,4,HIDDEN2,默认,0,默认,T,布线
防盗报警系统,默认,E-IAS-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
视频安防监控系统,默认,E-VSCS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
视频安防监控系统,默认,E-VSCS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
视频安防监控系统,默认,E-VSCS-WIRE,默认开,默认否,默认否,4,DASHDOT,默认,0,默认,T,布线
视频安防监控系统,默认,E-VSCS-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
周界报警系统,默认,E-PLMS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
周界报警系统,默认,E-PLMS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
周界报警系统,默认,E-PLMS-WIRE,默认开,默认否,默认否,4,Continuous,默认,0,默认,T,布线
周界报警系统,默认,E-PLMS-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
广播系统,默认,E-BRST-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
广播系统,默认,E-BRST-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
广播系统,默认,E-BRST-WIRE,默认开,默认否,默认否,4,BORDER,默认,0,默认,T,布线
广播系统,默认,E-BRST-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
远程抄表系统,默认,E-MBF-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
远程抄表系统,默认,E-MBF-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
远程抄表系统,默认,E-MBF-WIRE,默认开,默认否,默认否,4,PHANTOM2,默认,0,默认,T,布线
远程抄表系统,默认,E-MBF-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
巡更系统,默认,E-GTS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
巡更系统,默认,E-GTS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
巡更系统,默认,E-GTS-WIRE,默认开,默认否,默认否,4,Continuous,默认,0,默认,T,布线
巡更系统,默认,E-GTS-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
楼宇自控系统,默认,E-BAS-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
楼宇自控系统,默认,E-BAS-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
楼宇自控系统,默认,E-BAS-WIRE,默认开,默认否,默认否,4,Continuous,默认,0,默认,T,布线
楼宇自控系统,默认,E-BAS-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）
移动通信室内信号覆盖系统,默认,E-MOBL-EQPM,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,与其他专业相关的大设备、箱体
移动通信室内信号覆盖系统,默认,E-MOBL-DEVC,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,接线盒、引上引下线符号、一二次系统图符号
移动通信室内信号覆盖系统,默认,E-MOBL-WIRE,默认开,默认否,默认否,4,Continuous,默认,0,默认,T,布线
移动通信室内信号覆盖系统,默认,E-MOBL-DIMS,默认开,默认否,默认否,6,Continuous,默认,0,默认,T,标注、尺寸、云线（与其他专业无关的标注、尺寸、云线）